Probe,SMILES,pKd
4a,COC1=C(O)C=CC(/C=C/C(/C=C(/C=C/C2=CC=C(N(C)C)C=C2)O)=O)=C1,5.8
BAOP-13,F[B-]([N+]1=C(/C=C/C2=CC=C(N3CC(O)C3)C=C2)C=C(C)C1=C4)(F)N5C4=CC=C5,6.64
ICTAD-1,CN(C)C1=CC=C(C2=CC3=C(C=C(C4=NC5=C(C=CC=C5)S4)C(O3)=N)C=C2)C=C1,5.42
SDPY,CN(CCO)C1=CC=C(C#CC2=CC=C(/C=C(C#N)/C(OCC)=O)S2)C=C1,5.68
12d,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OCCOCCO)=O)=C2)=C1,8.14
8,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C4SC(N(CCC(O)=O)C\4=O)=S)=C3,6.97
DBAN-SLOH,CCCCN(CCCC)C1=CC=C2C(C=CC(/C=C/C3=CC=[N+](CCO)C4=C3C=CC=C4)=C2)=C1,3.07
TM-1,O=S(CCCN1C2=CC=CC=C2/C(C=C1/C=C/C3=CC=C(C=C3)N4CCCCC4)=C(C#N)/C#N)(O)=O,7.46
9,CN(CCO)C1=CC=C(/C=C/C(C=C(/C=C/C=C2N(C)C3=C(C=CC=C3)C/2(C)C)O4)=[O+][B-]4(F)F)C=C1,7.84
LS-4,CN(CC1)CCN(CC(C=C(C=C2OC)/C=C/C(C=C3)=CC=C3/C=C/C(C=C4)=CC=C4N(C)C)=C2O)CCN1C,7.24
MC-N-5,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCN4CCCC4)=C(CCC/3)/C=C(C#N)\C#N,7.23
DADNIR-4,COC1=CC=C(/C=C(/C=C/C(C#N)=C/C2=CC=C(C=C2)OC)C#N)C=C1,8.95
QM-12,CN(C)C1=CC=C([N+](C)=C(/C=C/C2=CC=C(N3CCN(C)CC3)C=C2)C=C4)C4=C1,5.76
MC-N-2,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCCC)=C(CCC/3)/C=C(C#N)\C#N,7.54
TZ095,CN(C)C1=CC=C(C2=CC(OC(C(C(OCC)=O)=C3)=O)=C3C=C2)C=C1,7.18
NTCN,CC(C1)(C)C/C(C=C1/C=C/C2=CC=C(N(C)C)C=C2OCCC)=C(C#N)/C#N,7.1
DANIR 22b,CN(C)C1=CC=C2C=C(C#CC#C/C=C(C#N)/C#N)C=CC2=C1,7.89
1Ca,CN(C)C1=CC=C(C#CC2=CC=C(C#N)C=C2)C=C1,6.33
MCAAD-3,CN(C)C1=CC=C(C=C1)/C=C/C=C/C=C(C#N)\C(OC)=O,6.97
BODIPY-5,CC1=CC(C)=C2N1[B-](F)(F)[N+]3=C(C)C=C(C)C3=C2C4=CC=C(NC5=C(OCC)C(C5=O)=O)C=C4,4.93
3d,OC(C=CC(/C=C/C1=CC=C(/C=C/C2=CC=C(C(O)=C2)O)C3=NSN=C13)=C4)=C4O,7.41
4c2,CN(C)C1=CC=C2SC3=C(N(C)C2=C1)C=CC(/C=C4C(N(CC(OC(C)(C)C)=O)C(S/4)=S)=O)=C3,6.62
PAD-4,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=C/C(C(C=CC=C3)=C3O2)=C(C#N)/C#N,7.58
MC-1,ClC1=C(CCC/C1=C\C=C(C(C)(C)C2=CC=CC=C32)\N3C)/C=C(C#N)\C#N,7.23
8b,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=C(OC)C=C(N(C)C)C=C1,5.28
Pre-LS-4,CN(C)C1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC(OC)=C(O)C=C3)C=C2)C=C1,4.96
F-CRANAD-101,F[B-]1(F)OC(C2CCC2)=CC(/C=C/C3=CN(C4=CC=C(OCCCF)C=C4)N=C3C)=[O+]1,6.23
7b,CN(C)C1=NC=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=C1,7.85
TAU 1,F[B-]([N+]1=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)C=C(C)C1=C3)(F)N4C3=CC=C4,8.54
DBA-SLOH,OCC[N+](C=C1)=C2C(C=CC=C2)=C1/C=C/C3=CC=C(N(CCCC)CCCC)C=C3,5.51
9a2,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C=C4SC(N(CC(OC(C)(C)C)=O)C\4=O)=S)=C3,6.28
curcumin,COC1=C(O)C=CC(/C=C/C(/C=C(/C=C/C2=CC=C(O)C(OC)=C2)O)=O)=C1,5.09
5MB-SZ,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(C)C(C4=NC(C=CC=C5)=C5S4)=C(C)C3=C2C,6.81
TM-2,N#C/C(C#N)=C1C2=CC=CC=C2N(CCCS(=O)(O)=O)C(/C=C/C3=CC=C4C(C=CC(N5CCCCC5)=C4)=C3)=C\1,7.04
9b,CN(C)C1=CC=C2C(C=CC(/C=C/C=C(C#N)/C(OCCOCCOC)=O)=C2)=C1,7.4
TC,C[N+]1=C(/C=C/C2=CC3=CC=C(C=C3OC2=O)N(CC)CC)SC4=C1C=CC=C4,7.23
CAQ,F[B-]1(F)OC(/C=C/C2=CN=C(C=CC=C3)C3=C2)=CC(/C=C/C4=CC=C(N(C)C)C=C4)=[O+]1,7.1
AACA-4,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(C2=CC(C=CC(N3CCCCC3)=C4)=C4C=C2)O1,6.44
QNN-4b,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=CN=C(C=CC=C3)C3=N2,7.11
9b,CN(C)C1=NC=C(C2=NC=C(/C=C/C=C(C#N)/C#N)C=C2)C=N1,6.82
TAMAOP-11,CC(C)C/[N+](CC(C)C)=C(C=C/1)\C=CC1=C(C2=CC=C(N(CC)CC)C=C2)\C3=CC=C(N(CC(C)C)CC(C)C)C=C3,7.56
46a,O=C1N(CC2=CC=C(OCCF)C=C2)C3=CC=CC=C3/C1=C/C=C/C4=CC=C([N+]([O-])=O)C=C4,6.57
MC-N-3,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCCN(C)C)=C(CCC/3)/C=C(C#N)\C#N,7.14
5a1,CN1C2=CC=CC=C2SC3=C1C=CC(/C=C/C=C/C4C(N(CC(OCC)=O)C(S4)=S)=O)=C3,7.99
ThB,CC1=CC=C([N+](C)=C(C2=CC(C=CC(N(C)C)=C3)=C3O2)S4)C4=C1,7.11
